year,threshold,prec,evap,in_degree,out_degree,clustering,ffl
1950,None,1891.9518288444447,1163.1091204752895,,,,
1951,None,1942.727982804778,1184.521876014092,,,,
1952,None,1863.7992717075379,1166.9265816033815,,,,
1953,None,1980.5186727156788,1184.254709759061,,,,
1954,None,1877.6297417779692,1163.910507173453,,,,
1955,None,1963.9035356920538,1155.9713531246057,,,,
1956,None,2112.1366067080744,1160.1270515495748,,,,
1957,None,2058.599652423921,1167.0936034152548,,,,
1958,None,2057.40032624023,1187.3460241452337,,,,
1959,None,1996.2129678365002,1178.1541195969592,,,,
1960,None,1748.9901289174534,1148.8229458980636,,,,
1961,None,1892.8953021039301,1175.4015942144392,,,,
1962,None,1905.8040475721739,1198.7809641561573,,,,
1963,None,2078.254586144841,1172.742653676498,,,,
1964,None,1956.501585818979,1172.3824595535173,,,,
1965,None,2077.196082866377,1175.0103355786632,,,,
1966,None,2018.051489512697,1171.9853869657704,,,,
1967,None,2021.042802601586,1151.2634469292955,,,,
1968,None,2041.3421524057949,1160.9886893749535,,,,
1969,None,1979.583602441482,1155.5838120785304,,,,
1970,None,2003.1551796223844,1162.2286901094958,,,,
1971,None,2050.121839934817,1158.6732227670846,,,,
1972,None,2012.7365391356086,1167.4340110749513,,,,
1973,None,2020.1445434097527,1165.4496119357666,,,,
1974,None,1962.6238546914553,1174.1517623737939,,,,
1975,None,1633.8891821578304,1159.3587506468755,,,,
1976,None,1987.0399815635833,1161.0385832320555,,,,
1977,None,1970.7867845319981,1188.1024647986835,,,,
1978,None,1862.989038411304,1171.2334292441499,,,,
1979,None,1782.787722139411,1154.2891357672656,,,,
1980,None,1931.759852978392,1162.76311714324,,,,
1981,None,2094.401880616216,1167.3832071189952,,,,
1982,None,1918.8747961478598,1160.5063303434129,,,,
1983,None,1917.6451166276502,1152.236016292315,,,,
1984,None,2015.7026232210303,1162.7792335288452,,,,
1985,None,1938.613559605829,1162.7038407032753,,,,
1986,None,1985.6134302535372,1160.3956760150918,,,,
1987,None,2253.65175865713,1159.2003296530909,,,,
1988,None,2217.4636038160615,1161.4662492268226,,,,
1989,None,1867.310427976701,1161.4756809386984,,,,
1990,None,1680.6561704669982,1169.265178686967,,,,
1991,None,1833.8299677678863,1143.0172553817206,,,,
1992,None,2084.698829901055,1137.4657911519887,,,,
1993,None,2007.5363781078054,1153.4096719300285,,,,
1994,None,1840.650120167296,1168.3275591383174,,,,
1995,None,2097.7588565396854,1180.5048852187308,,,,
1996,None,1851.6257624363693,1163.9732326134558,,,,
1997,None,1898.7199017382668,1156.082354068556,,,,
1998,None,2000.2506586433772,1135.0012530916056,,,,
1999,None,1977.1550527580544,1135.515869843332,,,,
